id,breed_1,breed_2,breed_3,breed_4
sample_1,0.00464326148412183,0.00141132301725911,0.993942056264806,0.000003359233813342
sample_2,0.00304566949891723,0.000229009184972643,0.996719363167173,0.00000595814893680298
sample_3,0.0144222650423152,0.00316703878418672,0.982401286060934,0.00000941011256386597
sample_4,0.0100635178310019,0.00067252332199694,0.989248643858714,0.0000153149882868009
sample_5,0.00805358669833348,0.991750783164333,0.000195513905630755,0.000000116231703176187
sample_6,0.000304114028128867,0.000000310250458017968,0.0000962247131660452,0.999599351008247
sample_7,0.000511874104881228,0.00189689459155907,0.997591021650382,0.000000209653177488873
sample_8,0.000152257275770007,0.00000015164453373186,0.0000749280483039608,0.999772663031392
sample_9,0.00306845253307261,0.996741782113923,0.000189686307306355,0.0000000790456981069102
sample_10,0.0849495012971446,0.910246557061782,0.00480201115153812,0.00000193048953566543
sample_11,0.999612148106582,0.000116801891615513,0.000261139309260932,0.00000991069254161388
sample_12,0.000114251689936734,0.0000000951970012988897,0.0000347013232694488,0.999850951789792
sample_13,0.000198772455853517,0.000000147082082237881,0.0000462547399128914,0.999754825722151
sample_14,0.00171809611751162,0.998058532419824,0.000223299207812469,0.0000000722548520686214
sample_15,0.0245644885311898,0.0461281351304525,0.929300218853412,0.00000715748494572215
sample_16,0.00258184276253708,0.965335886309064,0.0320818366304993,0.000000434297899933436
sample_17,0.0263059334188281,0.00109684589136748,0.97255421553287,0.000043005156934838
sample_18,0.0122114684754723,0.986982180865996,0.000806053963836755,0.000000296694695167122
sample_19,0.996927844308145,0.000238274893868999,0.00266366164154407,0.000170219156441632
sample_20,0.00350508836626501,0.996039094259475,0.000455692556156133,0.000000124818104099386
sample_21,0.000147637060103828,0.00000012517927324572,0.0000533282102510323,0.999798909550372
sample_22,0.999474077929462,0.000291066230659837,0.000231609476579125,0.0000032463632987483
sample_23,0.829504045597205,0.167565441275366,0.00292630978457588,0.0000042033428529724
sample_24,0.00100597255243518,0.000100646470000581,0.998891186792804,0.00000219418476087618
sample_25,0.00122801684309272,0.998422368392127,0.000349543620112778,0.0000000711446671509459
sample_26,0.000375896640288041,0.000327231013854325,0.999296630550156,0.00000024179570198005
sample_27,0.000792223613097788,0.000196384181341289,0.999010529137667,0.000000863067894225907
sample_28,0.9956702650923,0.000749846669599325,0.0035305567244366,0.0000493315136637575
sample_29,0.997029490856449,0.000253801623908996,0.00257559949080717,0.000141108028834482
sample_30,0.999337751699851,0.000530229097576954,0.000130918107568042,0.00000110109500358412
sample_31,0.00216779613657611,0.997194448179166,0.000637641538680522,0.000000114145576874091
sample_32,0.00185918566267759,0.991820694885734,0.00631988793825527,0.00000023151333310859
sample_33,0.0260262036333057,0.817065312811839,0.156904841954722,0.00000364160013305971
sample_34,0.000729312083039,0.00104239418385502,0.998227907984879,0.000000385748227003993
sample_35,0.000344462604249697,0.0000003403977726637,0.000101143438880768,0.999554053559097
